Model,Accuracy,Precision,Recall,F1 (weighted),Best Params
LR Baseline,0.8867,0.8871,0.8867,0.8867,default
LR Tuned,0.8864,0.8867,0.8864,0.8864,"{'C': 100, 'max_iter': 1000, 'penalty': 'l2', 'solver': 'lbfgs'}"
KNN Baseline,0.8982,0.8983,0.8982,0.8982,"k=5, uniform, euclidean"
KNN Tuned,0.9011,0.9012,0.9011,0.9011,"{'metric': 'manhattan', 'n_neighbors': 7, 'weights': 'uniform'}"
RF Baseline,0.9002,0.9002,0.9002,0.9002,"100 trees, no limit"
RF Tuned,0.9085,0.9085,0.9085,0.9084,"{'max_depth': None, 'min_samples_split': 5, 'n_estimators': 200}"
XGBoost Baseline,0.9132,0.9133,0.9132,0.9132,"100 trees, lr=0.1"
XGBoost Tuned,0.9153,0.9154,0.9153,0.9153,"{'learning_rate': 0.1, 'max_depth': 8, 'n_estimators': 300}"
