year,km_driven,mileage(km/ltr/kg),engine,max_power,seats,car_age,fuel_CNG,fuel_Diesel,fuel_LPG,fuel_Petrol,seller_type_Dealer,seller_type_Individual,seller_type_Trustmark Dealer,transmission_Automatic,transmission_Manual,owner_First Owner,owner_Fourth & Above Owner,owner_Second Owner,owner_Test Drive Car,owner_Third Owner
1.53214372722919,-1.2170304031850219,-1.4405633989686852,1.8829547063733267,1.5883809765239092,1.6806330330026442,-1.5321437272291947,False,True,False,False,False,True,False,True,False,True,False,False,False,False
-0.940655505295759,0.8874108553930357,-0.6075805058388916,-0.10061241963999616,-0.5744961515215097,-0.427257606954997,0.9406555052957541,False,True,False,False,False,True,False,False,True,True,False,False,False,False
1.0375838807242002,-1.0578709802673536,1.442259926953402,-1.317253794502419,-1.074861138665725,-0.427257606954997,-1.037583880724205,False,False,False,True,False,True,False,False,True,True,False,False,False,False
-1.4352153518007487,0.7105670521511821,0.23543832576234514,-0.5182054988006957,-0.35116940584697265,-0.427257606954997,1.435215351800744,False,False,False,True,False,True,False,False,True,False,False,True,False,False
1.0375838807242002,-0.35049576729993936,2.2526619585224474,-0.41581488804494726,-0.48912314241554755,-0.427257606954997,-1.037583880724205,False,True,False,False,False,True,False,True,False,True,False,False,False,False
1.284863803976695,-1.1462928818882805,0.5716422645556956,-0.9177296466515573,-0.6875729847744396,-0.427257606954997,-1.2848638039766997,False,False,False,True,False,True,False,True,False,True,False,False,False,False
-0.6933755820432641,-0.17365196405808578,-1.2373356449219584,-0.1126583738465548,0.03894566887563584,-0.427257606954997,0.6933755820432592,False,False,False,True,False,True,False,False,True,False,False,True,False,False
0.5430240342192103,0.5337232489093285,0.24547426423378824,-0.5182054988006957,-0.26918870173859866,-0.427257606954997,-0.5430240342192152,False,False,False,True,False,True,False,False,True,True,False,False,False,False
0.04846418771422057,-0.995975649132705,-0.30650235169559287,-0.5141901807318429,-0.25222717675065887,-0.427257606954997,-0.0484641877142254,False,False,False,True,False,True,False,False,True,True,False,False,False,False
0.5430240342192103,-0.7926052754045734,-0.6050715212210304,0.2728121607633217,0.8474450266340854,-0.427257606954997,-0.5430240342192152,False,False,False,True,False,True,False,False,True,True,False,False,False,False
0.5430240342192103,-0.5273395705417929,1.2239782651995101,-0.41581488804494726,-0.07978500603994076,-0.427257606954997,-0.5430240342192152,False,True,False,False,False,True,False,False,True,False,False,True,False,False
1.284863803976695,-1.0843975507536316,-0.6627781674318294,1.0839064106716034,2.7895396377531587,-0.427257606954997,-1.2848638039766997,False,True,False,False,True,False,False,True,False,True,False,False,False,False
-0.44609565879076923,-0.6157614721627197,-0.6075805058388916,-0.5182054988006957,-0.3200732767024171,-0.427257606954997,0.4460956587907644,False,False,False,True,False,True,False,False,True,True,False,False,False,False
0.29574411096671543,-0.1871805150060876,0.06231838712994886,0.2547432294534837,0.9859641473689248,-0.427257606954997,-0.29574411096672026,False,True,False,False,True,False,False,False,True,True,False,False,False,False
0.04846418771422057,-0.9694490786464269,0.23543832576234514,-0.5182054988006957,-0.35116940584697265,-0.427257606954997,-0.0484641877142254,False,False,False,True,False,True,False,False,True,True,False,False,False,False
0.04846418771422057,-0.6864989934594612,-0.554891828863814,-0.5182054988006957,0.34708003948986993,-0.427257606954997,-0.0484641877142254,False,False,False,True,True,False,False,True,False,False,False,True,False,False
0.5430240342192103,-0.030603011615750426,-0.06563982838095356,2.085728268850397,1.8764442092357483,-0.427257606954997,-0.5430240342192152,False,False,False,True,False,False,True,True,False,True,False,False,False,False
1.0375838807242002,-0.9694490786464269,-0.3315921978742006,-0.5141901807318429,-0.07413116437729418,-0.427257606954997,-1.037583880724205,False,False,False,True,False,True,False,True,False,True,False,False,False,False
0.29574411096671543,-0.9694490786464269,0.33830669509463895,-0.41581488804494726,-0.07243501187850017,1.6806330330026442,-0.29574411096672026,False,True,False,False,False,True,False,False,True,False,False,True,False,False
-0.1988157355382743,0.5337232489093285,0.33830669509463895,-0.41581488804494726,-0.07130424354597109,1.6806330330026442,0.19881573553826948,False,True,False,False,False,True,False,False,True,False,False,False,False,True
-0.44609565879076923,0.003191839183767794,0.4035402951590208,0.011816486287884485,-0.7441114014009047,-0.427257606954997,0.4460956587907644,False,True,False,False,False,True,False,False,True,False,False,True,False,False
-1.187935428548254,2.602795746839015,-1.6613540453404374,2.085728268850397,0.30184930618869804,2.734578352981465,1.187935428548249,False,True,False,False,False,True,False,False,True,False,True,False,False,False
-1.187935428548254,-0.6157614721627197,0.09744417177999964,-0.7410556516220306,-0.6578903160455456,-0.427257606954997,1.187935428548249,False,False,False,True,False,True,False,False,True,True,False,False,False,False
0.04846418771422057,-0.7158550647976089,0.7271993108630669,0.2547432294534837,0.9893564523665124,-0.427257606954997,-0.0484641877142254,False,True,False,False,False,True,False,False,True,True,False,False,False,False
1.0375838807242002,-0.6723514892001129,-0.2061429669811594,-0.5182054988006957,-0.26749254923980464,-0.427257606954997,-1.037583880724205,False,False,False,True,False,True,False,False,True,True,False,False,False,False
-0.940655505295759,1.5063641667395233,-1.6613540453404374,2.085728268850397,0.30184930618869804,2.734578352981465,0.9406555052957541,False,True,False,False,False,True,False,False,True,False,False,False,False,True
0.5430240342192103,0.5337232489093285,0.22038441805518053,-0.9177296466515573,-0.6578903160455456,-0.427257606954997,-0.5430240342192152,False,False,False,True,False,True,False,False,True,True,False,False,False,False
0.7903039574717052,-0.7926052754045734,1.442259926953402,-1.317253794502419,-1.074861138665725,-0.427257606954997,-0.7903039574717101,False,False,False,True,False,True,False,False,True,True,False,False,False,False
